EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,6,7,7,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,8,5,6,7,7,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,8,4,6,7,6,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,8,5,6,7,7,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,7,5,6,7,7,7,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,6,5,7,7,7,8,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
7,6,7,6,7,7,8,7,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,7,7,8,7,6,7,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,7,7,8,7,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,7,7,8,8,6,8,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,6,7,8,8,8,6,8,7,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
