EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,4,1,4,3,2,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,3,4,1,4,3,2,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,1,4,1,4,3,2,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
4,2,2,4,1,4,4,2,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
4,2,2,4,1,4,4,1,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,4,4,1,3,5,2,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,4,2,1,2,4,3,3,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,2,4,0,1,3,4,3,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
2,2,3,2,1,2,3,3,3,11,abitu; rahutu; vaenlased; käsikiri; kriitika
2,1,4,2,2,2,3,4,2,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,2,4,2,2,2,3,3,2,11,rahutu; vaenlased; abitu; käsikiri; kriitika
