EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,4,6,2,6,4,6,5,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,6,4,6,2,6,3,6,5,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,6,5,6,3,6,3,8,5,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,5,6,6,3,6,3,7,6,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,4,6,6,3,4,2,8,6,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
7,4,7,9,3,4,7,8,8,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; vladimir; jevgeni; karjatse; ossinovski; tõnu
6,6,9,6,4,3,4,8,8,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
3,6,10,6,6,4,8,4,8,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
4,7,7,7,7,5,8,6,8,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
4,5,7,5,7,5,8,6,7,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
3,4,9,5,6,4,6,7,7,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
