EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,3,3,3,3,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,4,2,3,3,3,3,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,4,2,3,3,3,3,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
4,5,2,3,3,3,3,4,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
5,4,2,3,3,3,3,4,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
3,4,1,2,3,2,3,5,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
3,2,2,4,3,3,3,4,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,1,2,3,3,3,4,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,1,3,4,5,2,4,2,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,1,4,4,4,3,3,2,5,12,budism; trumm; puhkpill; panteon; nukuteater; birma
2,1,5,4,3,2,2,3,4,12,budism; trumm; puhkpill; panteon; nukuteater; birma
