EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
7,7,7,7,7,7,7,7,7,11,aktiivne; mendelejevi; klaas; muldmetall; eerik; neodüüm; mart
