EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,5,8,3,3,5,5,6,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
4,6,5,8,3,3,4,5,6,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
3,6,6,8,3,3,4,5,6,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
5,5,8,8,3,4,4,5,6,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
5,5,9,8,3,5,4,6,7,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
3,4,8,6,3,6,3,5,7,13,poliitika; kommunist; leedu; saarsen; jaakson; läti; sõda; nõukogude; partei; valitsus
5,6,8,9,5,6,7,7,7,13,leedu; saarsen; läti; sõda; partei; valitsus; poliitika; kommunist; jaakson; nõukogude
3,7,7,6,4,6,7,7,7,13,poliitika; kommunist; leedu; saarsen; jaakson; läti; sõda; nõukogude; valitsus; partei
2,8,6,6,6,8,7,7,7,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
1,9,8,6,7,6,7,8,5,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
2,8,7,6,6,7,6,7,5,13,poliitika; kommunist; leedu; saarsen; läti; jaakson; sõda; nõukogude; partei; valitsus
