EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,7,9,10,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,10,7,9,9,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,10,9,9,10,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,10,9,9,10,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,10,10,9,10,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,10,10,10,10,9,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,9,10,10,10,9,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,9,10,10,10,9,9,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,10,10,10,9,10,10,10,13,kadri-ann; sagrits; mereröövel; hobune; ükssilm; karl; silver; heino; väli; admiral
9,9,10,10,10,9,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,10,10,10,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
