EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,7,6,6,4,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
7,6,6,6,6,8,6,7,4,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
7,6,6,6,6,6,7,7,4,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
7,6,6,7,6,7,8,7,4,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
7,6,8,8,6,6,4,7,4,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
7,6,8,8,6,4,6,7,4,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
9,6,8,9,7,5,6,7,4,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
9,5,7,8,8,5,6,7,4,12,seljakott; madis; korrus; tuletõrje; vaheoja; jooks; aesma; indrek; trepp
8,5,9,7,8,5,6,7,6,12,seljakott; trepp; madis; tuletõrje; korrus; vaheoja; aesma; indrek; jooks
6,5,7,7,7,6,6,8,5,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
6,6,8,7,8,7,8,9,7,12,seljakott; trepp; madis; korrus; tuletõrje; vaheoja; aesma; indrek; jooks
