EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,6,5,6,6,6,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,6,6,5,6,7,6,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,6,6,5,7,7,6,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,7,7,5,8,7,8,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,7,8,5,8,7,8,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
7,7,7,8,4,8,7,8,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,7,8,5,8,7,8,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,8,7,6,8,7,7,6,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,8,7,7,7,6,8,6,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,7,8,6,6,8,6,7,7,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,6,8,6,6,7,6,7,7,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
