EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,4,2,4,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
6,5,5,4,5,4,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
6,5,4,4,5,4,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
6,5,4,4,5,4,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
3,4,4,4,5,3,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
2,3,5,3,5,2,4,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
0,4,4,4,5,3,3,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
1,2,5,5,5,3,3,4,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
3,2,3,5,4,3,5,5,2,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
2,2,3,3,4,2,5,4,4,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
3,2,3,2,3,2,4,5,4,13,jüri; sobak; idamurderaamat; kreeka; tööjõupuudus; kristi
