EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,saatja; ühendproov; traditsioon; repertuaar; laulupidu; lastekoor
6,6,6,6,6,6,6,6,6,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
