EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,2,2,2,4,2,3,11,paavel; jõhkard; signe; apaatsus; ants
4,2,2,2,2,2,4,3,3,11,paavel; jõhkard; signe; apaatsus; ants
4,2,2,2,2,2,4,3,3,11,paavel; jõhkard; signe; apaatsus; ants
4,2,3,3,3,2,4,3,3,11,paavel; jõhkard; signe; apaatsus; ants
5,2,2,4,3,2,4,3,3,11,paavel; ants; signe; jõhkard; apaatsus
5,1,2,4,3,3,4,4,3,11,paavel; ants; signe; jõhkard; apaatsus
4,1,3,2,3,3,4,4,3,11,paavel; ants; signe; jõhkard; apaatsus
4,1,4,2,3,4,4,3,3,11,paavel; ants; signe; jõhkard; apaatsus
3,3,4,2,4,3,4,3,3,11,ants; signe; jõhkard; apaatsus; paavel
3,3,4,2,3,4,4,3,3,11,paavel; ants; signe; jõhkard; apaatsus
2,2,3,2,4,4,4,4,3,11,paavel; ants; signe; jõhkard; apaatsus
