EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,6,4,5,5,5,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,5,5,6,5,5,5,5,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,5,6,5,5,5,5,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,5,6,5,5,5,6,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,5,5,5,6,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,5,5,6,6,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,5,6,5,6,5,6,6,12,nsv; teatritrupp; draamatrupp; näitlejad; sõprus; tšehhoslovakkia
6,6,6,5,5,5,5,6,6,12,nsv; teatritrupp; draamatrupp; näitlejad; sõprus; tšehhoslovakkia
6,6,6,5,5,5,5,6,6,12,nsv; teatritrupp; draamatrupp; näitlejad; sõprus; tšehhoslovakkia
6,6,6,5,5,5,5,6,6,12,nsv; teatritrupp; draamatrupp; näitlejad; sõprus; tšehhoslovakkia
6,6,6,5,5,5,5,6,5,12,nsv; teatritrupp; draamatrupp; näitlejad; sõprus; tšehhoslovakkia
