EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,3,6,4,3,3,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,3,6,4,3,3,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,3,6,4,3,3,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,3,6,3,3,3,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,3,6,5,3,3,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,4,3,6,4,4,5,5,12,facebook; kristjan; trahv; port; karistus; euroopa
3,6,4,5,6,5,4,5,5,12,facebook; kristjan; trahv; port; karistus; euroopa
6,6,5,6,6,5,4,5,5,12,facebook; kristjan; trahv; port; karistus; euroopa
5,5,4,6,6,3,4,5,6,12,facebook; kristjan; trahv; port; karistus; euroopa
5,6,4,6,6,5,3,3,6,12,facebook; kristjan; trahv; port; karistus; euroopa
5,6,5,6,6,4,3,3,6,12,facebook; kristjan; trahv; port; karistus; euroopa
