Keyword;Score
kindlasti;0.009237829987059644
näiteks;0.008441958343719975
hästi;0.007618290970404674
inimesed;0.005493557183934681
aasta;0.00527426941401245
ongi;0.004935472210705491
tartu;0.00460024499510147
asi;0.004051866174136756
näha;0.003959539421324428
lihtsalt;0.003807273680667187
hea;0.0033296427023745932
ajal;0.0032165061417704158
kollektsiooni;0.0032162665562195454
aastal;0.0031522532363105803
etenduse;0.003130964622052128
mõttes;0.002936109372890495
no;0.002865924979773456
asja;0.002842175188379271
tegelikult;0.002723489281885284
arvan;0.0026500034865345585
väike;0.0024506087497896526
mood;0.0023893986661977858
asjad;0.0023413168858341157
üldse;0.0022390869167426266
tuua;0.0022108008128013737
mõtlema;0.0021439156720642893
disainerite;0.0021403671316647136
kristina;0.0020279813458395574
toimub;0.0020246916553327723
disainerid;0.00200048731425824
natukene;0.0019925886197757385
huvitav;0.001990644696328255
eesti;0.00197789468411825
tants;0.0019322531059171265
aru;0.001899317907532282
natuke;0.0018896396756229539
idee;0.001852738770237293
suunas;0.0018478798196830848
nimi;0.0018373313997624265
etendus;0.0018244075328063384
disaini;0.0017461731483817105
taas;0.0016643373972777527
tore;0.0016549615231379856
riided;0.0016528666610109808
kooli;0.001642397111062131
mõelda;0.0016301960735166077
teistmoodi;0.0016049612951951461
hästi-hästi;0.0016019695109402718
suur;0.0015997903284686783
asju;0.0015852257918679226
moeetendus;0.001582333300899863
tähelepanu;0.0015517783925325806
kinni;0.001543857784136663
eriti;0.0015367175628840757
meeste;0.0015108788897967064
osa;0.001493238020546867
asjade;0.0014900560532869224
hetkel;0.0014730948582208254
vaadata;0.0014648939823325093
second;0.0013684663054848486
samamoodi;0.0013616833393971185
lavale;0.0013539879168781154
kaasa;0.0013539488314673785
lavastaja;0.0013510587223650769
käinud;0.0013432376855641158
mootor;0.0013400991561992506
tea;0.0013388371485940635
etendusele;0.0013279725640644863
disaineritele;0.0013275666382902545
disainer;0.001325759640789362
jääb;0.001318473396227391
öelnud;0.0013148158001679477
tavaliselt;0.001305218341588497
koha;0.0013009192408331165
leida;0.0012981056862045174
etendust;0.0012953410078435962
modellide;0.0012905851685061174
täpselt;0.0012876345733810585
anatoomikum;0.0012873474505948879
tartus;0.0012870520085558144
nii-öelda;0.001283063811902595
erinevad;0.0012764787068179106
head;0.0012730027363925434
modellid;0.0012669128135867273
kogemusega;0.0012631988694319317
tudengid;0.001249092826431466
pelisi;0.0012443603429551666
aastat;0.001242584791092138
mõeldud;0.0012388615720658987
tahavad;0.0012371238950928149
õnneks;0.0012361719981110071
võimalik;0.0012288460672898755
disain;0.0012277809473855569
saali;0.0012235841218541247
noored;0.0012223161886657067
paju;0.0012212526474819256
nurgas;0.0012202699088333453
jälle;0.0012187501070158205
paljud;0.0012152430058207497
kogemust;0.0012079988326585659
venemaa;0.0012071192423520392
silma;0.0012054576577931477
erinevate;0.001204487710521869
rääkisime;0.001200297142788944
panna;0.0011996238154575846
moeshow;0.001198601731498542
toetada;0.0011928850593279521
igapäevaselt;0.001188933717462042
anatoomikumi;0.0011882232947384355
nagunii;0.0011866345408203713
konkursi;0.0011791999373646843
etendusest;0.001175450858093152
järjest;0.0011741659747842137
mõte;0.001171076306135912
tallinnas;0.0011701032690014396
korda;0.0011636846758604014
aitab;0.0011617295684696802
erilist;0.0011596470263077253
hetk;0.0011511640364170537
üllatuseks;0.0011445798137342303
kaks;0.0011369153057909018
jäänud;0.001129203943621066
rahvusvahelist;0.0011251813782151886
aeg;0.0011231868253113394
tudengite;0.0011169196272304447
mõtlen;0.0011149396587890454
varem;0.001102515503634828
moeetenduse;0.0011015663109508315
publiku;0.001098303210928344
tahaks;0.0010926842735369175
oluline;0.0010860960287363988
lihtne;0.0010780545249072615
vaja;0.0010756720645865288
värvi;0.0010635017975647056
kollektsioonid;0.0010621694849032859
teemaks;0.001059811905669792
info;0.001052263899993454
arvestama;0.0010438407951626548
jaa;0.0010432682205810321
disainereid;0.001040010303899323
noorte;0.001022430627045187
osta;0.0010023416755432653
vinged;0.0009990644473712588
liiguvad;0.0009987758095328118
maailma;0.0009985914172403003
tunda;0.000989635067912077
infot;0.0009745766195306751
aastast;0.0009730024499097653
tähele;0.0009677159061449013
kohti;0.0009667446676945087
inimeste;0.0009624777266383519
mail;0.0009599043757712043
disainida;0.0009505525667049205
käib;0.0009430476945932791
põhiliselt;0.000942941039894572
tegelevad;0.0009422382058112703
materjali;0.0009391078583895975
oskavad;0.0009361685542988949
lõpuks;0.0009311594224133684
uue;0.000928478266432635
võimelised;0.0009282866246562636
likku;0.0009280119049555974
viib;0.0009256963193860363
hoida;0.0009255422868575762
korrusel;0.0009251946235063181
etendusel;0.0009243901244428628
muutunud;0.0009236350307796523
tunne;0.0009212405972420014
keeruline;0.0009191066250674583
meenutada;0.0009186564663215332
sealjuures;0.0009171012095175095
meestele;0.00091631322891678
tantsu;0.0009155311052663557
tatu;0.0009130745642631008
pungits;0.0009118763676776905
väikse;0.0009098768315367516
kommentaar;0.0009036028004276207
üritus;0.0009011982042745567
etteasted;0.0008998405184008498
disainerina;0.0008993686216815303
