EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,11,7,7,7,7,9,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,9,12,7,7,7,7,10,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,9,10,7,7,8,7,10,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
11,9,10,8,7,7,8,10,7,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
11,9,10,7,6,9,10,10,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
12,8,12,9,6,10,9,10,5,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,8,10,8,7,11,10,8,5,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,7,9,9,6,10,12,9,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,8,9,6,6,10,11,10,5,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
7,8,10,7,6,10,11,11,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
7,7,10,8,6,9,10,9,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
