EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
10,10,10,10,10,10,10,10,10,16,tarmo; vahur; peeter; lasmann; tõnu; piret; kriivan; tiisler; toomas; tunnustus
