EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,7,6,6,6,4,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,5,7,6,6,6,4,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,8,5,7,5,6,6,4,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,8,7,7,4,5,6,4,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,8,5,7,4,5,7,4,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
5,8,8,7,4,6,8,6,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,8,7,5,4,7,6,7,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,7,6,7,4,7,7,8,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,7,8,7,6,6,8,8,5,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,7,8,7,6,7,7,8,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,8,7,6,7,8,7,7,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
