EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,4,3,2,2,6,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
7,5,3,4,3,2,2,6,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,6,3,4,3,3,2,6,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
7,6,5,4,3,3,3,6,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,6,6,4,3,5,3,6,7,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,6,5,5,3,4,4,4,8,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
4,6,5,6,3,6,6,6,7,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,7,5,6,5,7,6,6,7,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,7,4,5,4,9,6,6,7,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,6,4,5,3,8,3,5,8,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,7,6,5,4,8,6,6,7,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
