EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,2,2,3,5,5,5,7,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
10,7,2,2,3,4,5,5,8,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,9,3,2,6,6,5,6,8,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,9,4,5,7,7,6,6,8,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,9,4,5,7,7,6,8,8,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,9,6,8,7,8,5,6,8,14,bismarck; müür; von; wilhelm; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,7,7,10,9,7,7,6,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
8,8,9,10,9,8,8,6,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
8,9,8,10,9,6,7,8,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
7,8,9,10,9,6,8,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
6,7,9,10,8,5,9,9,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
