EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,4,7,4,3,2,6,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,10,3,7,4,4,3,7,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,10,3,7,4,4,3,7,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,10,6,7,4,5,3,6,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,11,6,7,4,5,3,8,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
11,11,7,8,5,5,3,10,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,9,9,10,6,7,7,8,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,10,10,10,8,7,8,9,7,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
8,10,9,10,8,8,9,10,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
8,10,10,10,8,8,8,11,7,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,10,8,10,9,6,8,10,8,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
