EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,5,8,5,9,8,10,6,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
7,8,6,6,5,10,8,10,6,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,8,7,6,7,10,9,10,7,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,10,8,6,7,10,9,10,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,11,8,9,7,11,9,10,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,11,10,9,7,9,10,11,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
7,10,11,7,9,11,10,10,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,9,11,9,9,9,8,11,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,11,12,9,8,6,7,12,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,9,9,11,9,10,8,11,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,9,11,11,9,7,10,12,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
