EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,9,7,8,8,8,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
7,8,9,7,8,8,8,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
7,8,9,7,8,8,8,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
7,8,9,7,7,8,9,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
8,8,9,7,7,8,7,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
8,8,9,7,7,9,7,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
9,8,9,9,8,9,7,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
9,9,9,8,8,9,8,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
8,8,9,9,8,9,8,9,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
8,8,9,9,8,9,8,9,6,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
8,9,9,9,9,8,9,9,6,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
