EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,10,11,7,9,9,9,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,10,11,8,9,9,9,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,10,11,8,9,10,10,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,10,11,8,9,10,10,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,10,11,8,10,10,10,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,11,11,9,10,11,10,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,11,11,9,9,11,10,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,11,11,11,9,10,11,11,10,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; kultuuriseminar; rahvatants; juur; väliseestlane; arrak
11,11,11,11,9,10,11,11,11,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
11,11,11,11,10,11,11,11,11,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
10,11,11,11,11,10,11,11,11,11,jüri; tallinn; tartu; kultuurisektor; kunst; kirjandus; rahvatants; kultuuriseminar; juur; väliseestlane; arrak
