EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,8,4,4,5,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,10,8,8,5,4,7,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,8,8,5,4,7,6,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,9,8,5,6,7,8,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,9,9,8,4,6,8,9,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
10,10,9,8,5,10,9,10,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
10,10,10,9,5,9,9,10,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,9,10,9,6,7,8,11,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,11,5,6,10,9,11,5,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,7,10,5,8,8,9,10,6,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,9,10,6,6,9,9,8,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
