EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,1,4,2,4,3,4,5,10,üksindus; mälestus; lend; kirjanik; inimkond; ermitaaž; sõda; volga
4,4,4,4,2,5,4,4,4,10,üksindus; mälestus; lend; kirjanik; inimkond; ermitaaž; sõda; volga
3,5,5,4,2,5,5,6,4,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
3,3,7,4,2,5,5,5,4,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
4,4,5,5,2,5,5,5,4,10,üksindus; mälestus; lend; kirjanik; inimkond; ermitaaž; sõda; volga
7,7,6,5,3,5,4,6,4,10,üksindus; mälestus; lend; kirjanik; inimkond; ermitaaž; sõda; volga
6,6,5,5,3,3,3,4,4,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
6,6,4,5,3,4,3,4,3,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
5,5,3,4,3,4,5,4,3,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
4,5,2,5,3,5,4,4,3,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
4,5,5,4,4,6,5,4,5,10,üksindus; lend; mälestus; kirjanik; inimkond; ermitaaž; sõda; volga
