EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,8,8,5,8,7,10,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
11,8,8,9,5,9,7,10,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,8,10,9,7,9,9,11,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,8,10,9,7,9,9,12,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,7,11,9,7,10,11,10,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,6,11,9,7,12,11,10,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
11,10,12,9,7,10,11,10,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,9,12,9,10,10,11,9,10,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,9,11,10,8,11,9,10,11,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
8,9,11,8,11,10,9,8,11,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,9,11,9,10,9,9,8,11,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
