EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,11,11,7,6,6,11,8,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
7,11,11,8,6,6,11,8,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
8,11,11,8,6,7,11,8,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
9,11,10,8,6,7,11,9,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
8,11,11,9,7,9,11,10,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
8,11,11,7,8,6,11,9,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
9,11,10,11,9,10,9,9,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
9,11,12,12,10,10,7,9,10,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
10,10,9,12,11,9,7,9,10,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
10,10,9,12,10,10,8,9,12,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
9,12,10,11,11,9,7,8,11,12,keskaeg; ülikool; liivimaa; tartu; katoliku; euroopa; ametikoht; toomhärra; vaimulik; kirik; piiskopkond; ordu
