EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,6,5,9,6,7,6,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,9,6,6,9,6,7,7,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,9,5,6,9,6,7,7,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,10,6,7,9,6,7,7,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,9,8,7,9,9,6,6,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,10,8,7,9,9,7,9,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,10,8,8,9,10,9,9,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,9,8,9,9,10,8,8,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,10,9,9,9,7,8,9,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,10,9,9,9,10,9,7,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,9,8,9,9,8,10,9,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
