EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,7,8,11,8,7,8,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,13,9,8,11,8,7,8,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,12,10,8,10,8,7,8,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
14,12,9,8,10,8,7,8,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,12,12,8,13,9,6,8,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
12,13,12,10,14,9,9,12,11,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
11,13,13,13,14,13,11,14,13,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
11,11,14,13,15,11,10,14,14,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
8,11,14,13,15,12,11,14,15,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
12,12,11,13,15,12,10,14,14,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
11,12,13,14,15,9,11,14,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
