EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,5,3,6,5,7,6,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
8,8,6,5,4,6,5,7,6,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
8,8,6,5,4,6,5,7,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
8,8,6,6,4,8,5,7,6,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
7,8,7,6,5,7,6,7,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
7,8,8,6,5,7,7,7,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
7,8,7,8,5,7,6,7,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
6,8,7,8,5,7,6,8,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
6,8,7,8,6,6,7,8,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
6,8,7,8,7,5,7,8,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
6,8,7,8,7,7,7,6,7,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
