EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,4,8,7,7,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,8,7,4,8,7,7,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,8,7,4,8,7,8,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,9,7,4,8,8,9,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,10,9,7,5,7,9,9,8,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,10,9,5,9,8,11,8,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
7,9,8,10,6,10,9,9,9,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,10,9,10,9,8,6,8,10,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
7,10,10,10,8,7,8,8,8,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,10,9,11,8,8,7,8,9,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,9,9,10,8,10,10,7,8,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
