EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,3,1,2,2,3,3,13,elektroonika; holland; sampel; solex; süntesaator
3,4,2,3,1,2,2,3,4,13,elektroonika; holland; sampel; solex; süntesaator
4,4,4,3,1,2,2,3,4,13,elektroonika; holland; sampel; solex; süntesaator
4,4,4,3,2,2,1,3,4,13,elektroonika; holland; sampel; solex; süntesaator
4,4,4,3,3,1,2,3,4,13,elektroonika; holland; sampel; solex; süntesaator
4,4,4,4,3,3,3,4,4,13,elektroonika; holland; sampel; solex; süntesaator
3,3,5,3,3,3,3,5,4,13,elektroonika; holland; sampel; solex; süntesaator
3,3,5,5,3,3,3,5,4,13,elektroonika; holland; sampel; solex; süntesaator
5,3,5,5,3,4,3,5,4,13,elektroonika; holland; sampel; solex; süntesaator
3,3,5,5,3,4,4,5,4,13,elektroonika; holland; sampel; solex; süntesaator
4,3,4,5,4,4,3,4,4,13,elektroonika; holland; sampel; solex; süntesaator
