EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,3,5,4,7,7,5,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
7,10,3,5,4,7,7,7,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
7,10,3,5,4,9,8,8,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
7,9,3,6,4,9,9,8,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
7,9,5,6,3,9,7,8,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
6,8,7,7,3,8,9,8,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
8,6,9,8,4,8,6,7,7,13,puhkus; julgus; moekunstnik; tindur; vastuvõtt; liivia; president; muusika; haapsalu; vaimuinimene
5,7,9,9,6,8,9,9,7,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
8,7,9,8,10,8,8,9,6,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
5,8,9,8,8,7,8,9,6,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; muusika; haapsalu
9,7,8,6,8,9,8,9,6,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
