EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,5,3,3,4,4,4,13,furmanov; prototüüp; stalin; film; liit
4,5,2,5,3,3,4,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,3,5,3,3,5,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,3,5,3,3,5,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,4,5,3,5,5,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,5,4,3,5,5,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,4,4,3,5,5,5,4,13,furmanov; prototüüp; stalin; film; liit
4,5,5,4,4,5,5,4,4,13,furmanov; prototüüp; stalin; film; liit
4,4,4,4,4,4,5,4,4,13,furmanov; prototüüp; stalin; film; liit
4,3,4,4,4,4,4,3,4,13,furmanov; stalin; prototüüp; film; liit
4,4,4,4,4,5,4,4,4,13,furmanov; prototüüp; stalin; film; liit
