EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,10,9,8,8,7,8,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; klaverivabrik; radke; muusikamuuseum; klaveriehitus; christoph
9,11,10,9,8,8,7,8,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; klaverivabrik; radke; muusikamuuseum; klaveriehitus; christoph
9,11,11,9,7,8,7,9,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; klaverivabrik; radke; muusikamuuseum; klaveriehitus; christoph
10,11,10,9,7,8,8,9,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,9,8,9,9,9,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,10,8,10,10,9,10,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,9,10,8,10,10,10,9,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverivabrik; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
10,8,9,9,7,9,9,10,10,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverivabrik; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
9,8,10,9,10,9,8,8,10,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klaverivabrik; radke; klavessiin; muusikamuuseum; klaveriehitus; christoph
9,8,10,9,10,9,8,7,9,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klaverivabrik; radke; klavessiin; muusikamuuseum; klaveriehitus; christoph
9,8,11,9,9,9,6,7,9,13,pianiino; kontsertklaver; falck; eesti; klaverivabrik; klaverimeister; radke; klavessiin; muusikamuuseum; klaveriehitus; christoph
