EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,3,5,4,5,2,6,4,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,8,3,5,4,5,3,6,4,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,8,4,5,5,5,3,7,5,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
5,8,4,4,5,6,3,7,5,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
4,7,5,5,6,6,3,7,5,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
4,8,5,9,7,7,4,7,4,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,5,6,7,7,8,7,7,5,12,elukvaliteet; tamm; mageveehorisont; liiv; torm; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,5,7,4,7,8,6,9,4,12,mageveehorisont; torm; elukvaliteet; tamm; liiv; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,5,7,7,7,6,8,8,5,12,mageveehorisont; torm; elukvaliteet; tamm; liiv; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,6,8,5,8,8,9,7,5,12,mageveehorisont; torm; elukvaliteet; tamm; liiv; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
6,7,10,4,8,8,7,5,7,12,mageveehorisont; torm; elukvaliteet; tamm; liiv; rand; prognoos; ehitustegevus; sadam; kasvuhooneefekt; tsükkel
