EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,11,11,11,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,10,11,11,11,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,10,11,11,12,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,10,11,11,12,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,10,11,11,12,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,10,11,11,12,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
12,11,12,11,12,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,11,12,12,11,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,11,12,12,10,12,12,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,11,12,11,11,12,11,12,12,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
11,12,12,11,11,12,11,12,11,12,andmed; isikuandmed; andmevargus; internet; euroopa; regulatsioon; nõusolek; liit; infoajastu; tavakodanik; andmesubjekt; kuhjumine
