EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,6,9,8,10,7,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
10,9,6,9,8,10,8,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,9,7,9,8,10,9,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
10,9,8,9,8,7,9,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,10,9,9,7,7,10,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
11,11,9,9,6,8,10,11,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
10,11,10,10,7,8,10,11,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
10,10,10,10,7,9,10,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
8,10,10,11,7,10,10,10,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
7,10,10,11,9,9,10,9,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
8,10,11,10,9,9,10,10,10,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
