EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,9,12,5,7,9,11,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,9,9,12,5,7,9,11,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,10,9,12,5,7,9,11,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,11,8,12,6,7,8,11,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,13,11,11,6,8,8,12,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,13,11,12,6,7,10,13,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,13,12,12,9,10,10,13,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,12,11,12,9,10,10,11,11,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,12,10,12,11,9,10,12,9,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,12,12,9,11,8,11,10,12,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,11,12,9,11,9,12,10,12,14,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
