EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,12,10,12,5,10,10,8,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,12,10,12,5,10,10,9,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,12,12,12,5,10,10,9,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,12,13,12,5,10,10,9,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,12,14,12,6,10,10,11,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,13,14,11,5,13,10,13,12,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,13,13,13,5,12,12,10,12,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
14,13,14,13,10,13,14,13,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
14,13,12,11,11,13,13,11,11,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; keelepoliitika; haridus; teadusministeerium; tööturupoliitika; põhialune
13,13,13,13,12,11,13,14,12,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keel; haridus; keelepoliitika; teadusministeerium; tööturupoliitika; põhialune
13,12,13,13,14,11,12,11,12,15,teadustöö; ülikool; rahvusvaheline; õpetaja; eestikeelne; arengukava; eesti; sotsiaalmeedia; keelepoliitika; keel; haridus; teadusministeerium; tööturupoliitika; põhialune
