EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,6,6,7,5,5,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
7,5,5,5,6,7,5,4,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
7,5,4,5,7,7,5,3,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
7,5,4,5,6,7,6,5,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
7,5,4,6,6,6,6,3,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
6,5,4,6,6,7,5,5,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
5,4,6,6,6,7,5,4,4,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
6,4,5,6,6,8,7,6,7,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
5,7,7,7,8,6,7,6,7,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
5,6,7,7,8,5,6,6,6,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,6,5,6,7,4,5,6,6,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
