EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,8,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,8,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,kultuuripäev; külalisesinemine; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,külalisesinemine; kultuuripäev; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
10,10,10,10,10,10,10,10,10,12,külalisesinemine; kultuuripäev; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
