EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,5,8,5,7,7,7,7,11,raamat; lähedus; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
6,9,6,8,5,7,7,7,7,11,raamat; lähedus; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
7,9,6,8,6,7,8,7,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,9,8,8,7,6,6,7,7,11,raamat; lähedus; kirjanik; furby; võõras; üksindus; olme; lavastus; urmas; vadi
9,8,10,7,7,7,8,8,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,9,10,6,7,7,8,8,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,9,10,7,7,9,9,9,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,10,10,7,7,9,8,10,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
10,10,10,8,7,10,9,10,8,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
9,10,10,8,8,10,9,9,8,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
10,10,10,8,7,10,8,10,8,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
