EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,4,7,2,8,7,6,6,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
10,9,4,8,2,8,7,6,6,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
10,9,4,8,2,8,5,6,6,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
10,9,4,8,3,6,7,7,6,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
9,9,4,8,3,6,7,8,7,12,esinemine; näitleja; juhan; eneseusk; lavakunstikateeder; näitering; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
8,8,6,8,5,7,6,7,8,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
8,10,8,7,8,7,7,10,8,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
8,9,7,9,9,5,7,9,9,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
7,8,8,9,9,6,9,9,9,12,esinemine; näitleja; juhan; eneseusk; lavakunstikateeder; näitering; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
8,8,10,8,10,7,8,9,9,12,esinemine; näitleja; juhan; eneseusk; näitering; lavakunstikateeder; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
7,8,9,7,9,7,6,8,9,12,esinemine; näitleja; juhan; eneseusk; lavakunstikateeder; näitering; tõnu; ebaõnnestumine; repertuaar; aav; draamateater
