EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,10,9,9,9,8,10,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,10,9,9,9,8,10,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,10,11,9,9,8,10,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,10,11,9,10,9,11,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,11,11,9,11,9,11,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,11,11,8,11,11,11,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
11,11,11,11,10,11,11,11,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,11,11,10,11,11,10,11,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
9,11,11,11,11,11,10,9,11,12,veetakistus; maailmameister; jooksma; lauskmaa; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,11,11,11,11,11,10,9,11,12,veetakistus; maailmameister; jooksma; lauskmaa; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
9,10,11,11,11,11,10,11,11,12,veetakistus; maailmameister; jooksma; lauskmaa; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
