EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,2,4,4,4,5,4,5,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,2,4,5,4,5,4,5,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,3,4,5,4,5,4,5,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,3,4,5,4,5,4,5,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,4,4,5,6,5,4,6,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,4,5,5,6,5,5,6,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,6,5,6,5,5,6,6,13,eesti; följeton; reimann; fuu; prelüüd; tants
6,6,6,6,6,6,4,5,6,13,följeton; tants; eesti; reimann; prelüüd; fuu
6,5,6,6,6,6,5,6,6,13,följeton; tants; eesti; reimann; prelüüd; fuu
4,5,6,6,6,5,5,5,6,13,fuu; eesti; följeton; reimann; prelüüd; tants
4,5,6,6,6,5,5,6,5,13,fuu; eesti; följeton; reimann; prelüüd; tants
