EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,5,8,5,5,5,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,6,7,5,8,5,5,5,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,6,6,5,8,5,5,5,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,6,6,5,8,5,6,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,5,7,4,8,5,6,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,6,8,5,7,5,6,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,7,8,6,8,6,6,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
7,6,8,6,7,9,7,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,6,8,6,6,8,8,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,6,7,7,6,8,7,6,4,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,7,9,7,6,8,7,7,4,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
