EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,10,7,4,8,5,6,7,13,kütusemüüja; varimajandus; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,10,10,7,5,8,8,6,8,13,kütusemüüja; varimajandus; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,10,11,7,5,9,8,9,8,13,kütusemüüja; varimajandus; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,10,11,7,5,9,8,10,8,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,10,11,7,5,9,10,10,8,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,10,11,7,6,9,9,11,8,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,8,11,9,5,9,10,11,8,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,9,11,10,7,10,11,8,8,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,8,10,9,8,11,8,7,8,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,8,10,9,8,9,8,8,8,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
6,8,9,9,8,10,7,10,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
