EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,3,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,2,3,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,2,3,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,3,3,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,4,4,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,4,4,4,4,3,4,2,12,agu; vaike; mait; hing
4,4,4,4,4,4,4,4,2,12,agu; vaike; mait; hing
3,4,4,4,4,4,4,4,4,12,mait; agu; vaike; hing
4,4,4,4,4,4,4,4,4,12,agu; vaike; mait; hing
4,4,4,2,4,4,4,3,4,12,agu; vaike; mait; hing
3,4,4,2,4,4,4,3,4,12,mait; agu; vaike; hing
