EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,5,8,3,10,6,11,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
8,10,6,9,3,10,7,12,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
9,10,6,9,3,10,7,12,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,11,8,9,4,10,8,12,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,11,9,10,5,12,10,11,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,10,10,8,6,11,11,12,10,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
9,9,10,7,5,6,8,12,9,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,9,11,11,8,9,8,10,9,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,10,10,12,8,10,8,10,8,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
10,11,10,12,10,10,9,9,7,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
8,10,7,10,7,9,8,6,8,14,leht; 40; hainsalu; üheksavägine; vägi; luuletaja; eesti; kirjanik; elulugu; keel; sõna; kiri; riigitegelane
