EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,7,4,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,8,7,4,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,8,7,4,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,9,7,5,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,7,10,8,5,9,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,6,10,8,5,10,10,9,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
8,6,11,9,4,8,10,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
10,7,11,10,7,8,9,10,6,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,9,10,9,8,8,7,10,6,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,8,9,8,8,7,5,8,5,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,7,8,8,9,8,6,6,5,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
