EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,11,6,10,8,7,7,6,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
9,11,7,10,8,7,7,6,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
9,11,6,11,7,9,8,6,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
9,11,8,10,7,10,9,10,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
10,10,10,10,7,11,11,11,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
11,9,10,13,6,12,10,13,7,13,mammutkontsert; tamberg; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
11,12,11,11,8,12,11,12,7,13,tamberg; mammutkontsert; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
9,11,10,10,8,11,10,11,7,13,tamberg; mammutkontsert; institutsioon; steinway; eino; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
7,10,11,9,8,11,10,11,7,13,tamberg; mammutkontsert; institutsioon; eino; steinway; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
8,10,10,9,9,10,9,12,9,13,tamberg; mammutkontsert; institutsioon; eino; steinway; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
8,8,11,9,9,12,8,12,8,13,tamberg; mammutkontsert; institutsioon; eino; steinway; uudisteos; eesti; traditsioon; noor; nüüdismuusika; publik; muusika; helilooja
