EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,3,5,2,2,5,5,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,6,3,4,2,3,5,5,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,5,3,4,2,3,5,5,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,5,4,4,1,4,5,5,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,5,5,4,1,4,5,7,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,5,6,4,1,6,5,7,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,4,7,6,1,6,7,6,6,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
7,5,7,5,3,7,7,4,6,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
7,7,7,6,5,7,7,5,6,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
7,6,7,6,4,6,5,4,6,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,4,6,6,5,6,6,4,6,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
