EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,11,8,10,6,9,10,7,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
7,11,8,10,6,9,10,8,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
7,10,9,10,6,9,10,10,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
7,11,9,10,6,9,10,11,9,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
7,11,9,9,6,10,9,11,9,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; muusika; helilooja
9,10,11,10,7,10,9,11,9,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helin-mari; helilooja
10,8,11,9,5,9,10,11,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; helin-mari; muusika; helilooja
9,10,11,10,8,11,10,9,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helilooja; helin-mari
8,8,10,10,8,10,10,9,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helilooja; helin-mari
8,11,10,10,9,9,9,9,10,13,esinemine; soome; arder; õping; armastus; muusikakool; unistus; kontsert; muusika; helilooja; helin-mari
7,10,9,10,10,9,8,9,10,13,esinemine; soome; arder; õping; muusikakool; armastus; unistus; kontsert; muusika; helilooja; helin-mari
