EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,4,7,7,3,4,3,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
9,10,4,7,7,3,4,6,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
9,10,4,8,7,3,4,8,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
9,10,6,8,7,4,4,8,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
10,10,5,8,7,4,4,8,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
10,8,8,9,8,6,6,9,8,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
9,7,6,8,7,8,6,9,8,13,liivrand; harry; blair; kohus; koalitsioon; res; tony; reformierakond; swedbank; usa
7,8,10,10,9,10,10,10,8,13,liivrand; harry; blair; kohus; koalitsioon; res; tony; reformierakond; swedbank; usa
7,8,10,10,10,9,9,10,10,13,liivrand; harry; blair; kohus; koalitsioon; res; tony; reformierakond; swedbank; usa
7,8,9,10,9,9,9,10,10,13,liivrand; harry; blair; kohus; koalitsioon; res; tony; reformierakond; swedbank; usa
7,7,10,10,10,10,8,10,10,13,liivrand; reformierakond; blair; kohus; koalitsioon; res; tony; harry; swedbank; usa
