EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,9,10,4,6,5,7,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; elanikkond; kliimamuutus; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,10,9,10,4,6,5,6,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,10,10,11,4,7,5,6,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,10,13,10,5,8,7,5,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
12,10,12,11,5,9,9,8,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
12,10,12,12,6,10,9,7,4,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,11,11,11,6,10,10,7,5,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
9,12,12,13,6,10,10,7,6,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; liit; festival; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
7,12,11,10,7,11,11,9,7,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; elanikkond; kliimamuutus; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,13,10,11,9,11,10,9,8,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
8,11,10,10,10,9,11,10,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; liit; festival; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
