EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,8,4,7,7,7,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
7,9,7,8,5,7,7,7,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
7,9,7,8,5,7,7,7,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
8,9,8,8,5,8,7,8,7,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,9,8,8,5,8,7,8,6,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
5,9,8,8,6,8,7,9,6,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,8,8,6,5,8,7,9,6,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,7,7,6,8,5,6,8,6,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
6,7,6,7,7,4,6,5,7,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,7,5,6,7,4,5,5,7,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
6,7,7,7,8,5,4,4,7,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
