EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,11,10,9,10,9,10,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,9,11,10,9,10,9,9,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,9,11,10,9,10,9,9,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,11,10,10,10,9,9,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,9,11,11,10,10,10,10,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,11,11,10,10,10,10,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,11,11,10,11,9,10,9,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,10,11,11,10,10,10,11,10,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
11,10,11,10,11,11,11,10,10,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,11,11,10,10,11,11,10,11,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
10,11,11,10,9,11,11,11,11,12,kaunis; imelaps; kunst; kirjandus; kommunism; luuletaja; kirjutama; klassik; iroonia; mati; romaan
