EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,4,6,5,6,6,10,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
10,9,4,7,5,6,6,9,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
10,9,4,7,6,6,5,9,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
9,8,4,7,6,7,5,9,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
8,8,3,5,6,6,6,8,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
8,8,7,8,8,7,6,9,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
7,9,8,7,7,8,7,6,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
5,7,7,6,6,6,10,9,5,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
4,8,7,8,8,5,9,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
4,8,11,10,7,10,8,7,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
4,7,11,8,4,8,11,9,9,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
