EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,11,9,9,4,7,9,7,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
8,11,9,9,4,8,9,6,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
9,11,9,9,4,8,8,9,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
10,11,10,9,4,8,8,10,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
9,11,11,10,5,8,10,11,7,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
9,8,11,9,5,9,12,12,7,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
12,8,12,11,5,12,12,9,7,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
13,10,11,10,5,10,11,11,6,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
12,10,11,8,5,10,11,10,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; konkurentsivõime; assotsiatsioonilepe; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
11,11,12,9,6,9,10,12,8,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; assotsiatsioonilepe; konkurentsivõime; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
11,11,9,10,7,11,9,10,6,15,pakendiorganisatsioon; gruusia; laidoner; rahvusvaheline; assotsiatsioonilepe; konkurentsivõime; filmiajakirjanik; muuseum; keedus; sulev; aasta; sundüürnik; presidendivalimine
