EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,7,8,8,7,9,8,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,8,8,8,7,9,8,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,9,9,8,8,8,8,8,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,9,10,8,9,6,8,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,8,10,9,10,6,10,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,10,9,9,9,7,10,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,11,10,10,9,9,5,9,6,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,10,8,9,9,8,5,9,5,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,9,9,11,9,7,6,11,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,10,9,11,9,6,7,11,10,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,9,10,9,10,3,6,12,10,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
