EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,3,10,5,6,7,9,11,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
13,11,5,12,5,7,7,9,11,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
13,12,4,13,5,8,8,9,11,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
13,11,5,13,5,8,9,11,11,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
12,12,5,11,5,9,8,10,10,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
14,11,8,13,5,9,9,10,9,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
9,10,9,11,5,10,4,11,9,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
10,11,8,10,7,9,7,11,9,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
10,9,9,10,7,8,8,11,10,19,margaret; prius; robert; palee; kindlusloss; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
9,9,9,11,7,10,10,11,10,19,margaret; prius; robert; palee; kindlusloss; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
7,10,9,11,7,9,9,10,10,19,margaret; prius; robert; palee; kindlusloss; sõda; šotimaa; stuart; kroon; marie; kilt; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
