EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,3,4,3,3,3,6,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
7,7,3,4,3,4,5,6,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,7,5,4,3,4,5,8,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
9,7,7,4,3,4,6,8,8,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
9,6,7,4,3,7,6,8,8,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,4,7,4,3,8,5,9,8,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
9,4,7,7,5,7,8,9,9,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,5,7,9,7,8,8,8,9,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
8,6,8,9,9,7,7,8,9,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
8,5,8,9,9,8,7,9,9,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
7,6,9,9,9,8,7,7,9,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
